anio,recaudacion_alquiler_miles_eur,recaudacion_venta_miles_eur,recaudacion_total_miles_eur,unidades_alquiler,unidades_venta
2002,118100,265964,384064,3936323,26229793
2003,127735,285415,413150,4250844,28861597
2004,104096,300008,404104,3733558,30799206
2005,93335,198735,292070,3586561,34051726
2006,75770,199736,275506,3130257,30226096
2007,51781,219542,271323,1934137,27787360
2008,38604,159934,198538,1440174,20966552
2009,16143,109314,125457,628301,15856029
2010,10996,116520,127516,536546,13452088
2011,8142,81846,89988,373944,11565889
2012,6150,73130,79280,322316,10993765
2013,3689,57505,61194,235382,12023648
